1245 clips in range 2026-08-18..2026-08-31; 1205 not yet repaired
 164 OK    history-edexcel/crime-punishment-whitechapel/L6: 81.06s -> 78.02s (card 3.1s, copy, vs card 36.9)
 165 OK    history-edexcel/crime-punishment-whitechapel/L6: 69.33s -> 66.01s (card 3.1s, copy, vs card 28.6)
 166 OK    history-edexcel/crime-punishment-whitechapel/L6: 84.8s -> 81.73s (card 3.1s, copy, vs card 33.8)
 167 OK    religious-studies-ocr/theme-dialogue-religious-and-non-religious/L3: 78.3s -> 75.21s (card 3.1s, encode, vs card 59.1)
 168 OK    religious-studies-ocr/theme-dialogue-religious-and-non-religious/L3: 80.9s -> 77.86s (card 3.1s, copy, vs card 14.8)
 169 OK    religious-studies-ocr/theme-dialogue-religious-and-non-religious/L3: 62.46s -> 59.37s (card 3.1s, encode, vs card 26.9)
 170 OK    religious-studies-ocr/theme-dialogue-religious-and-non-religious/L3: 72.26s -> 69.22s (card 3.1s, copy, vs card 54.7)
 171 OK    psychology-ocr/research-methods/L2: 65.48s -> 62.44s (card 3.1s, copy, vs card 28.1)
 172 OK    psychology-ocr/research-methods/L2: 90.23s -> 87.17s (card 3.1s, copy, vs card 29.3)
 173 OK    psychology-ocr/research-methods/L2: 76.25s -> 73.21s (card 3.1s, copy, vs card 16.8)
 174 OK    psychology-ocr/research-methods/L2: 60.42s -> 57.35s (card 3.1s, copy, vs card 27.4)
 175 OK    separate-sciences/physics-paper-1/L8: 67.85s -> 64.77s (card 3.1s, encode, vs card 14.3)
 176 OK    separate-sciences/physics-paper-1/L8: 73.7s -> 70.61s (card 3.1s, encode, vs card 28.3)
 177 OK    separate-sciences/physics-paper-1/L8: 74.23s -> 71.17s (card 3.1s, copy, vs card 37.0)
 178 OK    separate-sciences/physics-paper-1/L8: 73.93s -> 70.84s (card 3.1s, encode, vs card 25.5)
 179 OK    psychology-edexcel/sleep-and-dreaming/L2: 86.66s -> 83.62s (card 3.1s, copy, vs card 53.8)
 180 OK    psychology-edexcel/sleep-and-dreaming/L2: 77.93s -> 74.68s (card 3.1s, copy, vs card 25.2)
 181 OK    psychology-edexcel/sleep-and-dreaming/L2: 65.36s -> 62.32s (card 3.1s, copy, vs card 21.5)
 182 OK    psychology-edexcel/sleep-and-dreaming/L2: 75.81s -> 72.77s (card 3.1s, copy, vs card 15.0)
 183 OK    music-edexcel/aos1-instrumental-music/L4: 77.11s -> 74.03s (card 3.1s, encode, vs card 28.2)
 184 OK    music-edexcel/aos1-instrumental-music/L4: 81.32s -> 78.23s (card 3.1s, encode, vs card 30.0)
 185 OK    music-edexcel/aos1-instrumental-music/L4: 78.55s -> 75.51s (card 3.1s, copy, vs card 215.7)
 186 OK    music-edexcel/aos1-instrumental-music/L4: 58.28s -> 55.24s (card 3.1s, copy, vs card 26.2)
 187 OK    separate-sciences-ocr/physics-paper-1/L3: 72.7s -> 69.63s (card 3.1s, encode, vs card 27.6)
 188 OK    separate-sciences-ocr/physics-paper-1/L3: 72.72s -> 69.64s (card 3.1s, encode, vs card 25.6)
 189 OK    separate-sciences-ocr/physics-paper-1/L3: 74.7s -> 71.61s (card 3.1s, encode, vs card 29.1)
